"id","dishSoapNoPrice","dishSoapWithPrice","coffeeNoPrice","coffeeWithPrice","handSoapNoPrice","handSoapWithPrice","toiletPaperNoPrice","toiletPaperWithPrice","laundryNoPrice","laundryWithPrice","cleaningSprayNoPrice","cleaningSprayWithPrice","juiceNoPrice","juiceWithPrice","riceNoPrice","riceWithPrice","toothpasteNoPrice","toothpasteWithPrice","willingToPayPremium","howMuchPremium","dishSoapPriceDifference","coffeePriceDifference","handSoapPriceDifference","toiletPaperPriceDifference","laundryPriceDifference","cleaningSprayPriceDifference","juicePriceDifference","ricePriceDifference","toothpastePriceDifference"
"tvmmp1xkv46xorqf2ewgitvmmpymprhx",2.09,2.09,8.51,8.51,0.77,0.77,0.81,0.66,9.31,3.25,3.1,3.1,2.77,2.23,2,2,3.09,0.66,1,"50p-£1",0,0,0,0.15,6.06,0,0.54,0,2.43
"b74488tzif10u4kb7448md9395rt25ef",2.09,2.09,8.51,4.64,0.77,0.77,0.81,0.81,10.09,3.25,2.32,2.32,2.77,2.77,3.85,2,3.09,3.09,1,"£1-£2",0,3.87,0,0,6.84,0,0,1.85,0
"ckye775d59qfui0o5jectuckye775bl1",2.63,0.61,8.51,6.96,6.3,0.77,0.66,0.66,10.09,3.25,2.32,2.32,2.77,2.77,4.31,2,3.09,3.09,1,"50p-£1",2.02,1.55,5.53,0,6.84,0,0,2.31,0
"fev5aq29usrzm1dgtnffev5aq2n6047l",2.09,2.09,4.64,4.64,0.77,0.77,0.66,0.66,9.31,3.25,2.24,2.24,2.77,2.77,3.85,2,3.09,3.09,0,"10p-50p",0,0,0,0,6.06,0,0,1.85,0
"ougszw1oepn72whpecougsz0ao6h52ht",2.63,0.61,7.89,4.64,2.71,0.77,0.66,0.66,3.25,3.25,2.32,2.32,2.77,2.77,3.85,2,0.66,3.09,1,"£1-£2",2.02,3.25,1.94,0,0,0,0,1.85,-2.43
"oo73zjlqxow08hloo7wet5rv1lgowawf",0.61,0.61,7.89,4.64,6.3,0.77,0.81,0.81,3.25,3.25,3.85,2.32,2.77,2.77,2.54,2.54,3.09,0.66,0,"50p-£1",0,3.25,5.53,0,0,1.53,0,0,2.43
"w7jb1uuakg2q6p201iw7jb1uqm5im7ot",2.63,2.63,4.64,4.64,2.71,2.71,0.81,0.81,9.31,3.25,2.32,2.32,4.62,3.23,2.54,2.54,0.66,0.66,1,"£2-£5",0,0,0,0,6.06,0,1.39,0,0
"fhal947pglf6tkpurbvyfhal94lnffq5",2.63,2.09,7.89,6.96,6.3,0.77,0.81,0.64,9.31,3.25,3.1,2.24,2.77,2.77,4.31,2,0.66,0.66,1,"50p-£1",0.54,0.93,5.53,0.17,6.06,0.86,0,2.31,0
"4go34udek2mfauc4gochdu92blivbckd",2.09,0.61,4.64,4.64,0.77,0.77,0.81,0.81,3.25,3.25,2.24,2.24,2.23,2.23,2,2,3.09,3.09,0,"I would not be willing to pay extra",1.48,0,0,0,0,0,0,0,0
"m3qfyj46cpf7gj67m3qflipwb3byu0lu",2.09,2.09,8.51,4.64,0.77,0.77,0.81,0.64,3.25,3.25,3.1,2.24,2.77,2.77,3.85,2,3.09,3.09,1,"50p-£1",0,3.87,0,0.17,0,0.86,0,1.85,0
"wnkg7t5jyo1h1vn0ywnkg7t4w7j2gzuo",2.63,0.61,8.51,6.96,6.3,0.77,0.66,0.66,3.25,3.25,2.32,2.32,3.23,2.23,2.54,2.54,5.41,3.09,0,"50p-£1",2.02,1.55,5.53,0,0,0,1,0,2.32
"l3orfvdl2w9hndsb0hl3orfvdlp8nx51",2.63,2.09,6.96,6.96,0.77,0.77,0.64,0.64,9.31,9.31,2.24,2.24,2.77,2.77,3.85,3.85,3.09,3.09,1,"10p-50p",0.54,0,0,0,0,0,0,0,0
"y59ekumikubyyoiey59efla18o3rxdoo",2.63,2.09,7.89,7.89,0.77,0.77,0.66,0.66,3.25,3.25,3.1,3.1,3.23,3.23,2.54,2.54,3.09,3.09,1,"50p-£1",0.54,0,0,0,0,0,0,0,0
"pt7j03ej8svtmdwf1znpt7jm1h1u61fz",2.63,0.61,7.89,4.64,6.3,0.77,0.66,0.66,10.09,3.25,2.24,2.24,2.77,2.77,2.54,2.54,3.09,3.09,0,"50p-£1",2.02,3.25,5.53,0,6.84,0,0,0,0
"2l3p1na2u6rgkwfag2l3p99tourtruxm",2.63,0.61,7.89,7.89,6.3,0.77,0.64,0.64,10.09,3.25,2.24,2.24,3.23,2.23,2.54,2.54,3.09,3.09,1,"10p-50p",2.02,0,5.53,0,6.84,0,1,0,0
"zb07inqd9li4owba2zb07im3l1ojpuui",2.63,2.63,6.96,6.96,0.77,0.77,0.66,0.66,3.25,3.25,2.32,2.32,2.77,2.77,2,2,3.09,3.09,1,"£1-£2",0,0,0,0,0,0,0,0,0
"vms9cpqzulzvakvmsyg6nptiehx9yg6d",2.63,0.61,6.96,4.64,2.71,0.77,0.66,0.64,9.31,3.25,2.32,2.32,2.77,2.77,3.85,2,3.09,3.09,1,"50p-£1",2.02,2.32,1.94,0.02,6.06,0,0,1.85,0
"w71wkqdwig2qzysxr9w71wkqg5bnkgnc",2.09,2.09,7.89,4.64,6.3,2.71,0.81,0.81,10.09,3.25,3.85,2.24,2.77,2.77,4.31,3.85,3.09,3.09,1,"50p-£1",0,3.25,3.59,0,6.84,1.61,0,0.46,0
"8gc229s6jvf9zbo8gc2xlgjdr57nw1ov",0.61,0.61,8.51,4.64,0.77,0.77,0.81,0.64,3.25,3.25,2.24,2.24,3.23,2.23,2,2,3.09,0.66,0,"50p-£1",0,3.87,0,0.17,0,0,1,0,2.43
