#,dishSoapNoPrice,dishSoapWithPrice,coffeeNoPrice,coffeeWithPrice,handSoapNoPrice,handSoapWithPrice,toiletPaperNoPrice,toiletPaperWithPrice,laundryNoPrice,laundryWithPrice,cleaningSprayNoPrice,cleaningSprayWithPrice,juiceNoPrice,juiceWithPrice,riceNoPrice,riceWithPrice,toothpasteNoPrice,toothpasteWithPrice
tvmmp1xkv46xorqf2ewgitvmmpymprhx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b74488tzif10u4kb7448md9395rt25ef,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ckye775d59qfui0o5jectuckye775bl1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fev5aq29usrzm1dgtnffev5aq2n6047l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ougszw1oepn72whpecougsz0ao6h52ht,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oo73zjlqxow08hloo7wet5rv1lgowawf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
w7jb1uuakg2q6p201iw7jb1uqm5im7ot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fhal947pglf6tkpurbvyfhal94lnffq5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4go34udek2mfauc4gochdu92blivbckd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
m3qfyj46cpf7gj67m3qflipwb3byu0lu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wnkg7t5jyo1h1vn0ywnkg7t4w7j2gzuo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
l3orfvdl2w9hndsb0hl3orfvdlp8nx51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
y59ekumikubyyoiey59efla18o3rxdoo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pt7j03ej8svtmdwf1znpt7jm1h1u61fz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2l3p1na2u6rgkwfag2l3p99tourtruxm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zb07inqd9li4owba2zb07im3l1ojpuui,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vms9cpqzulzvakvmsyg6nptiehx9yg6d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
