id,dishSoapNoPrice,dishSoapWithPrice,coffeeNoPrice,coffeeWithPrice,handSoapNoPrice,handSoapWithPrice,toiletPaperNoPrice,toiletPaperWithPrice,laundryNoPrice,laundryWithPrice,cleaningSprayNoPrice,cleaningSprayWithPrice,juiceNoPrice,juiceWithPrice,riceNoPrice,riceWithPrice,toothpasteNoPrice,toothpasteWithPrice,willingToPayPremium,howMuchPremium
tvmmp1xkv46xorqf2ewgitvmmpymprhx,Dawn Ultra Original Scent Liquid Dish Soap - 50% Less Scrubbing,Dawn - £2.09,Peace Coffee Organic Fair Trade Dark Roast Whole Bean Coffee,Peace Coffee Organic Fair Trade Dark Roast Whole Bean Coffee - £8.51,Soft Soap - Wash Away bacteria,Soft Soap - £0.77,Quilted Northern Ultra Soft & Strong Toilet Paper,The Cheeky Panda - £0.66 per roll,Tide Clean Breeze Laundry Detergent,Smartly Fresh Scent - £3.25,Microban 24 Hour Multi-Purpose Cleaner - Protection that lives on,Microban - £3.10,Tropicana Pure Premium Orange Juice,Good & Gather Premium 100% Orange Juice - £2.23,Good & Gather Jasmine Rice,Good & Gather Jasmine Rice - £2.00,hello Anti-plaque and Whitening Toothpaste,Aim Cavity Protection Toothpaste - £0.66,1,50p-£1
b74488tzif10u4kb7448md9395rt25ef,Dawn Ultra Original Scent Liquid Dish Soap - 50% Less Scrubbing,Dawn - £2.09,Peace Coffee Organic Fair Trade Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,Soft Soap - Wash Away bacteria,Soft Soap - £0.77,Quilted Northern Ultra Plush Toilet Paper,Quilted Northern Ultra Plush Toilet Paper - £0.81 per roll,method Fresh Air Laundry Detergent,Smartly Fresh Scent - £3.25,Everspring All Purpose Cleaner - Down-to-Earth solutions that are up to Earth's standards,Everspring - £2.32,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Good & Gather Organic Jasmine Rice,Good & Gather Jasmine Rice - £2.00,Crest Pro-Health Advanced Deep Clean Mint Toothpaste,Crest Pro-Health Advanced Deep Clean Mint Toothpaste £3.09,1,£1-£2
ckye775d59qfui0o5jectuckye775bl1,Love Home & Planet Dish Liquid - Cuts Through Grease Fast,Smartly - £0.61,Peace Coffee Organic Fair Trade Dark Roast Whole Bean Coffee,Equal Exchange Organic Love Buzz Dark Roast Whole Bean Coffee - £6.96,Avalon Organics - Botanical Cleansers Purify and Refresh Hands with Every Wash,Soft Soap - £0.77,The Cheeky Panda Toilet Tissue,The Cheeky Panda - £0.66 per roll,method Fresh Air Laundry Detergent,Smartly Fresh Scent - £3.25,Everspring All Purpose Cleaner - Down-to-Earth solutions that are up to Earth's standards,Everspring - £2.32,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Lundberg Organic California White Jasmine Rice,Good & Gather Jasmine Rice - £2.00,hello Anti-plaque and Whitening Toothpaste,hello Anti-plaque and Whitening Toothpaste - £3.09,1,50p-£1
fev5aq29usrzm1dgtnffev5aq2n6047l,Dawn Ultra Original Scent Liquid Dish Soap - 50% Less Scrubbing,Dawn - £2.09,Community Coffee Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,Soft Soap - Wash Away bacteria,Soft Soap - £0.77,The Cheeky Panda Toilet Tissue,The Cheeky Panda - £0.66 per roll,Tide Clean Breeze Laundry Detergent,Smartly Fresh Scent - £3.25,Lysol All Purpose Cleaner - Kills Germs for a Deep Clean,Lysol - £2.24,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Good & Gather Organic Jasmine Rice,Good & Gather Jasmine Rice - £2.00,Crest Pro-Health Advanced Deep Clean Mint Toothpaste,Crest Pro-Health Advanced Deep Clean Mint Toothpaste £3.09,0,10p-50p
ougszw1oepn72whpecougsz0ao6h52ht,Seventh Generation Free & Clear Liquid Dish Soap - Powered by Plants,Smartly - £0.61,Peet's House Blend Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,everyone - Made with Plant extracts + Pure Essential Oils,Smartly - £0.77,The Cheeky Panda Toilet Tissue,The Cheeky Panda - £0.66 per roll,Smartly Fresh Scent Laundry Detergent,Smartly Fresh Scent - £3.25,Everspring All Purpose Cleaner - Down-to-Earth solutions that are up to Earth's standards,Everspring - £2.32,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Good & Gather Organic Jasmine Rice,Good & Gather Jasmine Rice - £2.00,Aim Cavity Protection Toothpaste,Crest Pro-Health Advanced Deep Clean Mint Toothpaste £3.09,1,£1-£2
oo73zjlqxow08hloo7wet5rv1lgowawf,Smartly Liquid Dish Soap - Smells Like the Ocean,Smartly - £0.61,Peet's House Blend Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,Avalon Organics - Botanical Cleansers Purify and Refresh Hands with Every Wash,Smartly - £0.77,Quilted Northern Ultra Soft & Strong Toilet Paper,Quilted Northern Ultra Soft & Strong Toilet Paper - £0.81 per roll,Smartly Fresh Scent Laundry Detergent,Smartly Fresh Scent - £3.25,NBD. Multi Purpose Cleaner - Plant Power Really Clean,Everspring - £2.32,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Dynasty Jasmine Rice,Dynasty Jasmine Rice - £2.54,Crest Pro-Health Advanced Deep Clean Mint Toothpaste,Aim Cavity Protection Toothpaste - £0.66,0,50p-£1
w7jb1uuakg2q6p201iw7jb1uqm5im7ot,Seventh Generation Free & Clear Liquid Dish Soap - Powered by Plants,Seventh Generation - £2.63,Community Coffee Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,everyone - Made with Plant extracts + Pure Essential Oils,Everyone - £2.71,Quilted Northern Ultra Soft & Strong Toilet Paper,Quilted Northern Ultra Soft & Strong Toilet Paper - £0.81 per roll,Tide PurClean Laundry Detergent,Smartly Fresh Scent - £3.25,Everspring All Purpose Cleaner - Down-to-Earth solutions that are up to Earth's standards,Everspring - £2.32,Uncle Matt's Organic Orange Juice,Good & Gather Organic 100% Premium Orange Juice - £3.23,Dynasty Jasmine Rice,Dynasty Jasmine Rice - £2.54,Aim Cavity Protection Toothpaste,Aim Cavity Protection Toothpaste - £0.66,1,£2-£5
fhal947pglf6tkpurbvyfhal94lnffq5,Love Home & Planet Dish Liquid - Cuts Through Grease Fast,Dawn - £2.09,Peet's House Blend Dark Roast Whole Bean Coffee,Equal Exchange Organic Love Buzz Dark Roast Whole Bean Coffee - £6.96,Avalon Organics - Botanical Cleansers Purify and Refresh Hands with Every Wash,Soft Soap - £0.77,Quilted Northern Ultra Soft & Strong Toilet Paper,Charmin - £0.64 per roll,Tide PurClean Laundry Detergent,Smartly Fresh Scent - £3.25,Microban 24 Hour Multi-Purpose Cleaner - Protection that lives on,Lysol - £2.24,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Lundberg Organic California White Jasmine Rice,Good & Gather Jasmine Rice - £2.00,Aim Cavity Protection Toothpaste,Aim Cavity Protection Toothpaste - £0.66,1,50p-£1
4go34udek2mfauc4gochdu92blivbckd,Dawn Ultra Original Scent Liquid Dish Soap - 50% Less Scrubbing,Smartly - £0.61,Community Coffee Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,Soft Soap - Wash Away bacteria,Soft Soap - £0.77,Quilted Northern Ultra Soft & Strong Toilet Paper,Quilted Northern Ultra Soft & Strong Toilet Paper - £0.81 per roll,Smartly Fresh Scent Laundry Detergent,Smartly Fresh Scent - £3.25,Lysol All Purpose Cleaner - Kills Germs for a Deep Clean,Lysol - £2.24,Good & Gather Premium 100% Orange Juice,Good & Gather Premium 100% Orange Juice - £2.23,Good & Gather Jasmine Rice,Good & Gather Jasmine Rice - £2.00,Crest Pro-Health Advanced Deep Clean Mint Toothpaste,Crest Pro-Health Advanced Deep Clean Mint Toothpaste £3.09,0,I would not be willing to pay extra
m3qfyj46cpf7gj67m3qflipwb3byu0lu,Dawn Ultra Original Scent Liquid Dish Soap - 50% Less Scrubbing,Dawn - £2.09,Peace Coffee Organic Fair Trade Dark Roast Whole Bean Coffee,Community Coffee Dark Roast Whole Bean Coffee - £4.64,Soft Soap - Wash Away bacteria,Soft Soap - £0.77,Quilted Northern Ultra Soft & Strong Toilet Paper,Charmin - £0.64 per roll,Smartly Fresh Scent Laundry Detergent,Smartly Fresh Scent - £3.25,Microban 24 Hour Multi-Purpose Cleaner - Protection that lives on,Lysol - £2.24,Tropicana Pure Premium Orange Juice,Tropicana Pure Premium Orange Juice £2.77,Good & Gather Organic Jasmine Rice,Good & Gather Jasmine Rice - £2.00,hello Anti-plaque and Whitening Toothpaste,hello Anti-plaque and Whitening Toothpaste - £3.09,1,50p-£1
